gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G,Churn_Probability
0,46.0,1,-1,1,-1,-1,-1,-1,0,1,4477500,4477500,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.7585299759002547
1,38.0,34,1,-1,1,-1,-1,-1,1,0,8542500,283425000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.10687178344753774
1,48.0,2,1,1,-1,-1,-1,-1,0,1,8077500,16222500,1,1.0,6.123233995736766e-17,0,0,1,0,0.5949450371921454
1,58.0,45,1,-1,1,1,-1,-1,1,0,6345000,276112500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.05670751545593908
0,37.0,2,-1,-1,-1,-1,-1,-1,0,1,10605000,22747500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.856395454306839
0,37.0,8,-1,-1,1,-1,1,1,0,1,14947500,123075000,1,0.0,1.0,0,0,0,1,0.8951299663951537
1,59.0,22,-1,1,-1,-1,1,-1,0,1,13365000,292410000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.7902492006102022
0,49.0,10,1,-1,-1,-1,-1,-1,0,0,4462500,45285000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.5205943773791768
0,34.0,28,-1,-1,1,1,1,1,0,1,15720000,456907500,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.7725676858862152
1,47.0,62,1,1,-1,-1,-1,-1,1,0,8422500,523192500,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.04009545515053884
1,34.0,13,1,-1,-1,-1,-1,-1,0,1,7492500,88117500,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.5358427875221259
1,34.0,16,0,0,0,0,0,0,1,0,2842500,49020000,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.11131810833985578
1,43.0,58,-1,-1,1,-1,1,1,1,0,15052500,852165000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.36238772677198955
1,18.0,49,-1,1,1,-1,1,1,0,1,15555000,755445000,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.7363887052289443
1,19.0,25,1,-1,1,1,1,1,0,1,15825000,402907500,0,0.0,1.0,0,0,0,1,0.7119170360001057
0,33.0,69,1,1,1,1,1,1,1,0,16987500,1184272500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.14563039800402225
0,28.0,52,0,0,0,0,0,0,1,0,3097500,153442500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0.024636460995247602
1,44.0,71,1,-1,1,-1,1,1,1,0,16005000,1107337500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.20732007552640927
0,29.0,10,-1,-1,1,1,-1,-1,0,0,8280000,79252500,1,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.4503538766506533
0,23.0,21,-1,1,1,-1,-1,1,0,1,13507500,279435000,0,0.0,1.0,0,0,0,1,0.8039632578446863
1,58.0,1,-1,-1,1,-1,-1,1,0,1,5947500,5947500,1,-0.5000000000000004,0.8660254037844384,0,1,0,0,0.8018450278167689
