gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G,Churn_Probability,Top_Churn_Reasons,Risk_Level,Recommended_Action,Campaign_Type,Customer_Priority
0,46.0,1,-1,1,-1,-1,-1,-1,0,1,4477500,4477500,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.7585299759002547,sim_history_months (+1.249) .. Churn_Probability (+0.488) .. monthly_cost_toman (+0.454),High Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Very High
1,38.0,34,1,-1,1,-1,-1,-1,1,0,8542500,283425000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0,0.1068717834475377,gen_2G (+0.227) .. monthly_cost_toman (+0.111) .. volte_calling_service (+0.073),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | فعال‌سازی رایگان VoLTE به عنوان بخشی از بسته عذرخواهی برای CRITICAL RISK,Conditional_Discount_Only_With_Value | VoLTE_As_Apology_Bundle,Normal
1,48.0,2,1,1,-1,-1,-1,-1,0,1,8077500,16222500,1,1.0,6.123233995736766e-17,0,0,1,0,0.5949450371921454,sim_history_months (+1.207) .. sim_card_type (+0.251) .. gen_2G (+0.227),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,High
1,58.0,45,1,-1,1,1,-1,-1,1,0,6345000,276112500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0,0.056707515455939,monthly_cost_toman (+0.296) .. gen_2G (+0.227) .. age (+0.055),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
0,37.0,2,-1,-1,-1,-1,-1,-1,0,1,10605000,22747500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0.856395454306839,sim_history_months (+1.207) .. Churn_Probability (+0.646) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,37.0,8,-1,-1,1,-1,1,1,0,1,14947500,123075000,1,0.0,1.0,0,0,0,1,0.8951299663951537,sim_history_months (+0.957) .. Churn_Probability (+0.708) .. gen_5G (+0.424),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
1,59.0,22,-1,1,-1,-1,1,-1,0,1,13365000,292410000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1,0.7902492006102022,Churn_Probability (+0.539) .. gen_5G (+0.424) .. sim_history_months (+0.373),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
0,49.0,10,1,-1,-1,-1,-1,-1,0,0,4462500,45285000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.5205943773791768,sim_history_months (+0.873) .. monthly_cost_toman (+0.455) .. sim_card_type (+0.251),Medium Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,High
0,34.0,28,-1,-1,1,1,1,1,0,1,15720000,456907500,1,0.8660254037844386,0.5000000000000001,0,0,0,1,0.7725676858862152,Churn_Probability (+0.511) .. gen_5G (+0.424) .. sim_card_type (+0.251),High Risk,برنامه وفادارسازی عمومی,General Loyalty,Very High
1,47.0,62,1,1,-1,-1,-1,-1,1,0,8422500,523192500,0,0.4999999999999999,-0.8660254037844387,0,0,1,0,0.0400954551505388,total_cost_toman (+0.348) .. gen_2G (+0.227) .. monthly_cost_toman (+0.121),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
1,34.0,13,1,-1,-1,-1,-1,-1,0,1,7492500,88117500,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.5358427875221259,sim_history_months (+0.748) .. sim_card_type (+0.251) .. gen_2G (+0.227),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,High
1,34.0,16,0,0,0,0,0,0,1,0,2842500,49020000,0,0.8660254037844386,0.5000000000000001,1,0,0,0,0.1113181083398557,sim_history_months (+0.623) .. monthly_cost_toman (+0.591) .. birth_month_cos (+0.038),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
1,43.0,58,-1,-1,1,-1,1,1,1,0,15052500,852165000,0,0.8660254037844386,0.5000000000000001,0,0,0,1,0.3623877267719895,total_cost_toman (+0.89) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
1,18.0,49,-1,1,1,-1,1,1,0,1,15555000,755445000,1,0.4999999999999999,0.8660254037844387,0,0,0,1,0.7363887052289443,total_cost_toman (+0.731) .. Churn_Probability (+0.452) .. gen_5G (+0.424),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
1,19.0,25,1,-1,1,1,1,1,0,1,15825000,402907500,0,0.0,1.0,0,0,0,1,0.7119170360001057,gen_5G (+0.424) .. Churn_Probability (+0.413) .. sim_card_type (+0.251),Medium Risk,برنامه وفادارسازی عمومی,General Loyalty,High
0,33.0,69,1,1,1,1,1,1,1,0,16987500,1184272500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0.1456303980040222,total_cost_toman (+1.437) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
0,28.0,52,0,0,0,0,0,0,1,0,3097500,153442500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0,0.0246364609952476,monthly_cost_toman (+0.57) .. gen_4G (+0.013) .. gen_3G (+0.003),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی,Conditional_Discount_Only_With_Value,Normal
1,44.0,71,1,-1,1,-1,1,1,1,0,16005000,1107337500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1,0.2073200755264092,total_cost_toman (+1.31) .. gen_5G (+0.424) .. gen_2G (+0.227),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
0,29.0,10,-1,-1,1,1,-1,-1,0,0,8280000,79252500,1,-0.8660254037844386,0.5000000000000001,0,0,1,0,0.4503538766506533,sim_history_months (+0.873) .. sim_card_type (+0.251) .. gen_2G (+0.227),Medium Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Normal
0,23.0,21,-1,1,1,-1,-1,1,0,1,13507500,279435000,0,0.0,1.0,0,0,0,1,0.8039632578446863,Churn_Probability (+0.561) .. gen_5G (+0.424) .. sim_history_months (+0.414),High Risk,اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Welcome_Campaign_24h_Guardian,Very High
1,58.0,1,-1,-1,1,-1,-1,1,0,1,5947500,5947500,1,-0.5000000000000004,0.8660254037844384,0,1,0,0,0.8018450278167689,sim_history_months (+1.249) .. Churn_Probability (+0.558) .. monthly_cost_toman (+0.33),High Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Very High
1,37.0,12,0,0,0,0,0,0,1,0,2970000,30337500,0,-1.0,-1.8369701987210287e-16,1,0,0,0,0.1222517297971227,sim_history_months (+0.79) .. monthly_cost_toman (+0.581) .. birth_month_sin (+0.048),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
1,41.0,1,0,0,0,0,0,0,0,0,3022500,3022500,1,1.2246467991473532e-16,-1.0,1,0,0,0,0.379974396038336,sim_history_months (+1.249) .. monthly_cost_toman (+0.576) .. sim_card_type (+0.251),Low Risk,ارائه بسته تخفیف ویژه (فقط برای HIGH RISK با الگوی مصرف بالا) - توصیه نمی‌شود مگر در کنار انگیزه ارزشی | اجرای کمپین خوش‌آمدگویی پیشگیرانه ۲۴ ساعته برای مشتریان جدید (CRITICAL RISK),Conditional_Discount_Only_With_Value | Welcome_Campaign_24h_Guardian,Normal
0,23.0,58,-1,1,-1,1,-1,-1,1,1,8985000,525765000,0,0.8660254037844386,0.5000000000000001,0,0,1,0,0.0698021265289117,total_cost_toman (+0.352) .. gen_2G (+0.227) .. international_roaming_package (+0.112),Low Risk,برنامه وفادارسازی عمومی,General Loyalty,Normal
