gender,age,sim_history_months,international_roaming_package,operator_cloud_space,night_internet_package,volte_calling_service,superapp_social_network,superapp_financial_services,sim_card_type,operator_app_usage,monthly_cost_toman,total_cost_toman,churn,birth_month_sin,birth_month_cos,gen_2G,gen_3G,gen_4G,gen_5G
0,46.0,1,-1,1,-1,-1,-1,-1,0,1,4477500,4477500,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0
1,38.0,34,1,-1,1,-1,-1,-1,1,0,8542500,283425000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0
1,48.0,2,1,1,-1,-1,-1,-1,0,1,8077500,16222500,1,1.0,6.123233995736766e-17,0,0,1,0
1,58.0,45,1,-1,1,1,-1,-1,1,0,6345000,276112500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0
0,37.0,2,-1,-1,-1,-1,-1,-1,0,1,10605000,22747500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1
0,37.0,8,-1,-1,1,-1,1,1,0,1,14947500,123075000,1,0.0,1.0,0,0,0,1
1,59.0,22,-1,1,-1,-1,1,-1,0,1,13365000,292410000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
0,49.0,10,1,-1,-1,-1,-1,-1,0,0,4462500,45285000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
0,34.0,28,-1,-1,1,1,1,1,0,1,15720000,456907500,1,0.8660254037844386,0.5000000000000001,0,0,0,1
1,47.0,62,1,1,-1,-1,-1,-1,1,0,8422500,523192500,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
1,34.0,13,1,-1,-1,-1,-1,-1,0,1,7492500,88117500,0,0.8660254037844386,0.5000000000000001,0,0,1,0
1,34.0,16,0,0,0,0,0,0,1,0,2842500,49020000,0,0.8660254037844386,0.5000000000000001,1,0,0,0
1,43.0,58,-1,-1,1,-1,1,1,1,0,15052500,852165000,0,0.8660254037844386,0.5000000000000001,0,0,0,1
1,18.0,49,-1,1,1,-1,1,1,0,1,15555000,755445000,1,0.49999999999999994,0.8660254037844387,0,0,0,1
1,19.0,25,1,-1,1,1,1,1,0,1,15825000,402907500,0,0.0,1.0,0,0,0,1
0,33.0,69,1,1,1,1,1,1,1,0,16987500,1184272500,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
0,28.0,52,0,0,0,0,0,0,1,0,3097500,153442500,0,0.8660254037844387,-0.4999999999999998,1,0,0,0
1,44.0,71,1,-1,1,-1,1,1,1,0,16005000,1107337500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1
0,29.0,10,-1,-1,1,1,-1,-1,0,0,8280000,79252500,1,-0.8660254037844386,0.5000000000000001,0,0,1,0
0,23.0,21,-1,1,1,-1,-1,1,0,1,13507500,279435000,0,0.0,1.0,0,0,0,1
1,58.0,1,-1,-1,1,-1,-1,1,0,1,5947500,5947500,1,-0.5000000000000004,0.8660254037844384,0,1,0,0
1,37.0,12,0,0,0,0,0,0,1,0,2970000,30337500,0,-1.0,-1.8369701987210297e-16,1,0,0,0
1,41.0,1,0,0,0,0,0,0,0,0,3022500,3022500,1,1.2246467991473532e-16,-1.0,1,0,0,0
0,23.0,58,-1,1,-1,1,-1,-1,1,1,8985000,525765000,0,0.8660254037844386,0.5000000000000001,0,0,1,0
1,33.0,49,1,1,-1,1,-1,-1,0,0,8940000,445545000,0,-0.5000000000000004,0.8660254037844384,0,0,1,0
0,41.0,30,1,1,-1,-1,-1,-1,0,1,8295000,229590000,0,0.8660254037844387,-0.4999999999999998,0,0,1,0
1,26.0,47,-1,1,-1,-1,1,1,0,1,14902500,712372500,1,0.49999999999999994,0.8660254037844387,0,0,0,1
1,45.0,1,-1,1,-1,-1,-1,-1,0,0,4530000,4530000,1,0.49999999999999994,-0.8660254037844387,0,0,1,0
1,33.0,72,1,1,1,1,1,1,1,1,13537500,955417500,0,1.0,6.123233995736766e-17,0,1,0,0
0,36.0,17,-1,-1,-1,-1,1,1,0,1,9705000,163965000,1,0.8660254037844387,-0.4999999999999998,0,0,1,0
0,33.0,71,1,1,1,1,-1,-1,1,1,14452500,1015042500,0,0.8660254037844387,-0.4999999999999998,0,0,0,1
1,62.0,2,-1,-1,1,-1,1,1,0,1,14325000,27247500,0,-0.5000000000000004,0.8660254037844384,0,0,0,1
0,40.0,27,1,1,1,1,-1,-1,1,0,9922500,281167500,0,-0.5000000000000004,0.8660254037844384,0,0,1,0
1,27.0,1,0,0,0,0,0,0,0,0,3030000,3030000,0,1.0,6.123233995736766e-17,1,0,0,0
1,50.0,1,-1,-1,-1,-1,-1,-1,0,0,6787500,6787500,0,-0.4999999999999997,-0.8660254037844388,0,0,1,0
0,25.0,72,1,1,-1,1,1,-1,1,0,14985000,1087755000,0,0.49999999999999994,0.8660254037844387,0,0,0,1
1,43.0,5,-1,-1,-1,-1,-1,-1,0,1,10455000,47535000,1,0.49999999999999994,0.8660254037844387,0,0,0,1
0,18.0,46,-1,-1,1,-1,-1,-1,0,1,11220000,532245000,0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
1,24.0,34,-1,1,1,-1,1,1,0,1,15952500,532387500,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1
0,42.0,11,-1,-1,1,-1,1,1,0,1,14677500,165810000,1,-0.5000000000000004,0.8660254037844384,0,0,0,1
1,49.0,10,-1,1,-1,-1,-1,-1,1,0,7432500,71355000,0,0.0,1.0,0,0,1,0
0,42.0,70,1,1,-1,-1,1,-1,1,1,10380000,730852500,0,0.8660254037844386,0.5000000000000001,0,1,0,0
0,39.0,17,0,0,0,0,0,0,1,0,3112500,62737500,0,-1.0,-1.8369701987210297e-16,1,0,0,0
0,36.0,63,1,1,1,1,1,-1,1,1,11977500,729217500,0,-1.0,-1.8369701987210297e-16,0,0,1,0
0,22.0,13,1,1,-1,1,1,-1,0,1,11430000,147217500,0,1.0,6.123233995736766e-17,0,1,0,0
0,31.0,49,-1,-1,-1,-1,-1,1,0,1,12675000,586005000,0,0.8660254037844386,0.5000000000000001,0,0,0,1
1,34.0,2,-1,1,-1,-1,-1,-1,0,0,7387500,14550000,0,0.49999999999999994,-0.8660254037844387,0,0,1,0
0,53.0,2,-1,-1,-1,-1,1,-1,0,1,12097500,21622500,1,-0.5000000000000004,0.8660254037844384,0,0,0,1
1,44.0,52,1,-1,-1,1,1,1,1,1,11962500,632670000,0,-0.8660254037844385,-0.5000000000000004,0,0,1,0
0,19.0,69,1,-1,1,1,-1,-1,1,1,9622500,638115000,0,0.49999999999999994,0.8660254037844387,0,1,0,0
0,44.0,43,-1,1,-1,-1,1,-1,0,1,13537500,575812500,0,0.0,1.0,0,0,0,1
0,35.0,15,1,1,-1,-1,1,1,0,1,14865000,213960000,1,-0.4999999999999997,-0.8660254037844388,0,0,0,1
0,32.0,25,1,-1,-1,1,1,-1,0,1,10425000,262897500,0,1.2246467991473532e-16,-1.0,0,0,1,0
0,47.0,8,-1,1,-1,-1,-1,-1,0,1,12097500,94995000,1,0.8660254037844386,0.5000000000000001,0,0,0,1
0,52.0,60,1,1,1,1,-1,1,1,1,11227500,668452500,0,0.0,1.0,0,1,0,0
1,51.0,18,-1,-1,-1,-1,1,1,0,1,14317500,262882500,1,-0.8660254037844385,-0.5000000000000004,0,0,0,1
0,30.0,63,1,-1,-1,-1,1,1,1,1,14947500,946680000,0,0.8660254037844386,0.5000000000000001,0,0,0,1
1,36.0,66,-1,1,1,1,1,1,1,1,16267500,1061452500,0,0.49999999999999994,-0.8660254037844387,0,0,0,1
0,44.0,34,0,0,0,0,0,0,1,0,3742500,134145000,0,-0.8660254037844386,0.5000000000000001,1,0,0,0
0,52.0,72,-1,-1,1,1,1,1,1,1,16125000,1178055000,0,0.49999999999999994,0.8660254037844387,0,0,0,1
0,34.0,47,-1,-1,1,-1,1,1,0,1,15075000,706065000,0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
1,38.0,60,-1,1,-1,-1,1,-1,0,1,13485000,817605000,0,-0.8660254037844386,0.5000000000000001,0,0,0,1
